"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"01/04/2020","12","Good","","37-095-9000","AQS"
"01/07/2020","13","Good","","37-095-9000","AQS"
"01/10/2020","14","Good","","37-095-9000","AQS"
"01/13/2020","8","Good","","37-095-9000","AQS"
"01/16/2020","14","Good","","37-095-9000","AQS"
"01/19/2020","14","Good","","37-095-9000","AQS"
"01/25/2020","11","Good","","37-095-9000","AQS"
"01/28/2020","10","Good","","37-095-9000","AQS"
"01/31/2020","13","Good","","37-095-9000","AQS"
"02/03/2020","21","Good","","37-095-9000","AQS"
"02/06/2020","32","Good","","37-095-9000","AQS"
"02/09/2020","12","Good","","37-095-9000","AQS"
"02/12/2020","15","Good","","37-095-9000","AQS"
"02/15/2020","10","Good","","37-095-9000","AQS"
"02/18/2020","20","Good","","37-095-9000","AQS"
"02/21/2020","18","Good","","37-095-9000","AQS"
"02/24/2020","18","Good","","37-095-9000","AQS"
"02/27/2020","5","Good","","37-095-9000","AQS"
