"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"01/01/2020","37","Good","Hawthorne","49-035-3006","AQS"
"01/02/2020","20","Good","ROSE PARK","49-035-3010","AQS"
"01/03/2020","27","Good","","49-035-4002","AQS"
"01/04/2020","50","Good","","49-035-4002","AQS"
"01/05/2020","59","Moderate","ROSE PARK","49-035-3010","AQS"
"01/06/2020","29","Good","","49-035-4002","AQS"
"01/07/2020","24","Good","","49-035-4002","AQS"
"01/08/2020","36","Good","","49-035-4002","AQS"
"01/09/2020","34","Good","","49-035-4002","AQS"
"01/10/2020","14","Good","","49-035-3015","AQS"
"01/11/2020","21","Good","","49-035-4002","AQS"
"01/12/2020","20","Good","","49-035-4002","AQS"
"01/13/2020","20","Good","","49-035-4002","AQS"
"01/14/2020","27","Good","","49-035-4002","AQS"
"01/15/2020","43","Good","","49-035-4002","AQS"
"01/16/2020","53","Moderate","","49-035-3015","AQS"
"01/17/2020","20","Good","","49-035-2005","AQS"
"01/18/2020","34","Good","","49-035-4002","AQS"
"01/19/2020","59","Moderate","","49-035-4002","AQS"
"01/20/2020","89","Moderate","Hawthorne","49-035-3006","AQS"
"01/21/2020","68","Moderate","","49-035-3015","AQS"
"01/22/2020","35","Good","","49-035-3015","AQS"
"01/23/2020","58","Moderate","","49-035-4002","AQS"
"01/24/2020","54","Moderate","","49-035-4002","AQS"
"01/25/2020","69","Moderate","ROSE PARK","49-035-3010","AQS"
"01/26/2020","55","Moderate","Hawthorne","49-035-3006","AQS"
"01/27/2020","23","Good","","49-035-3015","AQS"
"01/28/2020","22","Good","","49-035-2005","AQS"
"01/29/2020","21","Good","","49-035-2005","AQS"
"01/30/2020","38","Good","","49-035-4002","AQS"
"01/31/2020","52","Moderate","","49-035-4002","AQS"
"02/01/2020","42","Good","ROSE PARK","49-035-3010","AQS"
"02/02/2020","23","Good","","49-035-3015","AQS"
"02/03/2020","11","Good","Hawthorne","49-035-3006","AQS"
"02/04/2020","35","Good","","49-035-4002","AQS"
"02/05/2020","34","Good","","49-035-4002","AQS"
"02/06/2020","45","Good","Hawthorne","49-035-3006","AQS"
"02/07/2020","37","Good","Hawthorne","49-035-3006","AQS"
"02/08/2020","14","Good","Hawthorne","49-035-3006","AQS"
"02/09/2020","15","Good","Hawthorne","49-035-3006","AQS"
"02/10/2020","37","Good","","49-035-4002","AQS"
"02/11/2020","42","Good","","49-035-4002","AQS"
"02/12/2020","43","Good","","49-035-4002","AQS"
"02/13/2020","36","Good","","49-035-4002","AQS"
"02/14/2020","31","Good","","49-035-4002","AQS"
